name,value
symbol_id,BINANCE_SPOT_IOTA_ETH
asset_id_base,IOTA
symbol_id,LIQUI_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,LIQUI_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,BTC-E_SPOT_PPC_USD
asset_id_base,PPC
symbol_id,POLONIEX_SPOT_EXP_BTC
asset_id_base,EXP
symbol_id,EXMO_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,HITBTC_SPOT_MAID_USDT
asset_id_base,MAID
symbol_id,BITTREX_SPOT_NAV_BTC
asset_id_base,NAV
symbol_id,BITFINEX_SPOT_XMR_BTC
asset_id_base,XMR
symbol_id,HITBTC_SPOT_BCH_ETH
asset_id_base,BCH
symbol_id,BITSO_SPOT_BTC_MXN
asset_id_base,BTC
symbol_id,CRYPTOPIA_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,BITTREX_SPOT_XZC_BTC
asset_id_base,XZC
symbol_id,HITBTC_SPOT_XDN_USDT
asset_id_base,XDN
symbol_id,BINANCE_SPOT_VIB_EBTC
asset_id_base,VIB
symbol_id,HITBTC_SPOT_XMR_USDT
asset_id_base,XMR
symbol_id,POLONIEX_SPOT_FLDC_BTC
asset_id_base,FLDC
symbol_id,BITTREX_SPOT_LTC_USDT
asset_id_base,LTC
symbol_id,BINANCE_SPOT_ELF_BTC
asset_id_base,ELF
symbol_id,KRAKEN_SPOT_XMR_BTC
asset_id_base,XMR
symbol_id,POLONIEX_SPOT_AMP_BTC
asset_id_base,AMP
symbol_id,BITTREX_SPOT_SALT_BTC
asset_id_base,SALT
symbol_id,BITSTAMP_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,BITFINEX_SPOT_ETP_USD
asset_id_base,ETP
symbol_id,BINANCE_SPOT_BTS_BTC
asset_id_base,BTS
symbol_id,MIXCOINS_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,BITTREX_SPOT_RCN_BTC
asset_id_base,RCN
symbol_id,BITSTAMP_SPOT_LTC_EUR
asset_id_base,LTC
symbol_id,HITBTC_SPOT_DASH_USDT
asset_id_base,DASH
symbol_id,BITTREX_SPOT_XDN_BTC
asset_id_base,XDN
symbol_id,BTC-E_SPOT_NMC_BTC
asset_id_base,NMC
symbol_id,HITBTC_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,EXMO_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,KRAKEN_SPOT_ZEC_BTC
asset_id_base,ZEC
symbol_id,HUOBIPRO_SPOT_EOS_USDT
asset_id_base,EOS
symbol_id,HITBTC_SPOT_ADX_ETH
asset_id_base,ADX
symbol_id,HITBTC_SPOT_BCC_BTC
asset_id_base,BCC
symbol_id,BITTREX_SPOT_PTOY_BTC
asset_id_base,PTOY
symbol_id,BTC-E_SPOT_NVC_USD
asset_id_base,NVC
symbol_id,KRAKEN_SPOT_REP_EUR
asset_id_base,REP
symbol_id,EXMO_SPOT_XRP_RUB
asset_id_base,XRP
symbol_id,BTC-E_SPOT_EUR_USD
asset_id_base,EUR
symbol_id,HITBTC_SPOT_STRAT_BTC
asset_id_base,STRAT
symbol_id,BINANCE_SPOT_FUN_BTC
asset_id_base,FUN
symbol_id,THEROCKTRADING_SPOT_BTC_EUR
asset_id_base,BTC
symbol_id,BITTREX_SPOT_GUP_BTC
asset_id_base,GUP
symbol_id,POLONIEX_SPOT_NAV_BTC
asset_id_base,NAV
symbol_id,BINANCE_SPOT_XMR_BTC
asset_id_base,XMR
symbol_id,BITTREX_SPOT_ARDR_BTC
asset_id_base,ARDR
symbol_id,BITTREX_SPOT_IOP_BTC
asset_id_base,IOP
symbol_id,BITCOINID_SPOT_BTC_IDR
asset_id_base,BTC
symbol_id,BTC-E_SPOT_BTC_EUR
asset_id_base,BTC
symbol_id,BINANCE_SPOT_BTG_BTC
asset_id_base,BTG
symbol_id,KRAKEN_SPOT_XMR_USD
asset_id_base,XMR
symbol_id,POLONIEX_SPOT_ARDR_BTC
asset_id_base,ARDR
symbol_id,OKEX_SPOT_LTC_USDT
asset_id_base,LTC
